pW;pD;pL;HG;AG
 0.51; 0.27; 0.22;2;1
 0.45; 0.25; 0.30;0;0
 0.48; 0.31; 0.21;2;1
 0.53; 0.18; 0.29;2;3
 0.56; 0.23; 0.21;3;2
 0.39; 0.30; 0.31;1;1
 0.52; 0.24; 0.24;4;1
 0.55; 0.26; 0.19;2;2
 0.61; 0.18; 0.21;1;1
 0.37; 0.19; 0.44;1;1
 0.35; 0.22; 0.43;2;2
